,country,doing_business_score,gdppc,poptotal,starting_business_score
106,Nigeria,131.0,5135.49946875343,200963603.0,105.0
107,North Macedonia,17.0,16773.0405718113,2076694.0,78.0
108,Norway,9.0,64385.0059928545,5347896.0,25.0
109,Oman,68.0,31284.0163557619,4974992.0,32.0
110,Pakistan,108.0,5317.77436352009,216565317.0,72.0
111,Palau,145.0,17227.0627136281,18001.0,132.0
112,Panama,86.0,31440.2635333901,4246440.0,51.0
113,Papua New Guinea,120.0,4292.60942902109,8776119.0,142.0
114,Paraguay,125.0,12615.5286456565,7044639.0,160.0
115,Peru,76.0,12858.3262992687,32510462.0,133.0
116,Philippines,95.0,8914.72379819382,108116622.0,171.0
117,Poland,40.0,33185.1581282308,37965475.0,128.0
118,Portugal,39.0,34945.6613395799,10286263.0,63.0
119,Puerto Rico,65.0,34804.9434590498,3193694.0,59.0
120,Qatar,77.0,90043.7990029688,2832071.0,108.0
121,Romania,55.0,29875.0627717262,19371648.0,91.0
122,Russian Federation,29.0,27254.57421875,144406261.0,40.0
123,Samoa,98.0,6627.83850059952,197093.0,46.0
124,San Marino,92.0,60633.0616544557,33864.0,92.0
125,Sao Tome and Principe,170.0,4005.3416234,215048.0,
126,Saudi Arabia,63.0,46999.9381372314,34268529.0,38.0
127,Senegal,123.0,3368.26227359017,16296362.0,60.0
128,Serbia,44.0,18306.7852371745,6945235.0,73.0
129,Seychelles,100.0,29365.9996635962,97625.0,147.0
130,Singapore,2.0,98283.3089080861,5703569.0,4.0
131,Slovak Republic,45.0,31927.5938301222,5454147.0,118.0
132,Slovenia,37.0,38946.6853820836,2088385.0,41.0
133,Solomon Islands,136.0,2660.51489245052,669821.0,110.0
134,South Africa,84.0,13709.9663747111,58558267.0,139.0
135,Spain,31.0,40802.48774251,47134837.0,97.0
136,Sri Lanka,99.0,13079.5386297334,21803000.0,85.0
137,St. Kitts and Nevis,139.0,28592.9007542933,52834.0,109.0
138,St. Lucia,93.0,15200.8720778976,182795.0,69.0
